iter	Accuracy	MultiClass
0	0.3469637118	1.346642206
1	0.3720038832	1.315418609
2	0.4330811462	1.272306511
3	0.4402450455	1.247064354
4	0.457183985	1.227099935
5	0.4528655597	1.226462385
6	0.4671933583	1.21249514
7	0.4669925013	1.211979793
8	0.479094135	1.202259006
9	0.4767340653	1.199500916
10	0.4854043921	1.191240804
11	0.4904258168	1.1815302
12	0.4951459561	1.174486237
13	0.4994141671	1.167163388
14	0.4995815479	1.165810023
15	0.5036823781	1.159265698
16	0.5032304499	1.158468106
17	0.5029291644	1.158005195
18	0.5070802089	1.153184212
19	0.5075321371	1.152002948
20	0.5106956347	1.147364215
21	0.5125535619	1.144156813
22	0.5142775844	1.139674224
23	0.5168719871	1.135883383
24	0.5168217729	1.135111374
25	0.5165372255	1.133252661
26	0.5171063203	1.132213435
27	0.5183951527	1.129350881
28	0.5198178897	1.126071974
29	0.5231487681	1.121794521
30	0.5252745046	1.118060574
31	0.5281032405	1.114849657
32	0.528404526	1.113675983
33	0.5310826192	1.109945658
34	0.534296331	1.106545105
35	0.5362212105	1.10305494
36	0.5383636851	1.099903951
37	0.5386649705	1.098712421
38	0.5388993037	1.097381756
39	0.5389997322	1.096399709
40	0.5400374933	1.095251008
41	0.5403220407	1.09430297
42	0.5427155865	1.090934368
43	0.5436529191	1.087965467
44	0.5444898232	1.087106469
45	0.5464147027	1.084514194
46	0.5488919389	1.081555423
47	0.5486743439	1.081154997
48	0.5507666042	1.078239946
49	0.553377745	1.075097369
50	0.5552524103	1.072500666
51	0.5564742903	1.070489461
52	0.5582987413	1.067790554
53	0.5597884306	1.065185514
54	0.561679834	1.062392618
55	0.5637051419	1.059842399
56	0.5646257365	1.057836716
57	0.5662828066	1.055322175
58	0.5666845206	1.054713216
59	0.5683583289	1.0525746
60	0.5688604713	1.051418098
61	0.570216256	1.049369397
62	0.5716892073	1.047631285
63	0.5725261114	1.046041139
64	0.5727102303	1.045033471
65	0.574685324	1.043017616
