iter	Passed	Remaining
0	461	599735
1	806	523560
2	1249	540166
3	1654	536015
4	2089	541209
5	2546	549253
6	2963	547361
7	3394	548250
8	3742	536824
9	4202	542127
10	4587	537538
11	4962	532647
12	5342	528866
13	5706	524187
14	6200	531203
15	6606	530157
16	7078	534251
17	7549	537671
18	7906	533058
19	8290	530582
20	8655	527185
21	9008	523301
22	9364	519910
23	9723	516962
24	10152	517753
25	10580	518463
26	10997	518519
27	11370	516528
28	11727	513970
29	12089	511773
30	12448	509592
31	12809	507562
32	13265	509309
33	13659	508603
34	14051	507850
35	14420	506336
36	14796	505093
37	15166	503687
38	15583	503852
39	16052	505669
40	16410	503911
41	16797	503123
42	17159	501628
43	17530	500420
44	17906	499405
45	18270	498082
46	18657	497396
47	19075	497549
48	19441	496364
49	19858	496460
50	20224	495297
51	20591	494206
52	20982	493674
53	21366	493003
54	21735	492023
55	22104	491026
56	22467	489958
57	22834	488972
58	23213	488276
59	23574	487202
60	24009	487671
61	24370	486631
62	24736	485692
63	25096	484670
64	25481	484154
65	25868	483657
66	26248	483045
67	26626	482416
68	26987	481475
69	27347	480531
70	27776	480806
71	28176	480566
72	28585	480468
73	28971	479994
74	29333	479113
75	29722	478692
76	30086	477872
77	30482	477556
78	30890	477429
79	31273	476924
80	31634	476083
81	32011	475494
82	32381	474798
83	32746	474040
84	33143	473752
85	33518	473159
86	33939	473195
87	34303	472452
88	34728	472536
89	35157	472677
90	35543	472227
91	35948	472023
92	36373	472078
93	36757	471589
94	37138	471067
95	37579	471304
96	38047	471863
97	38476	471929
98	38933	472317
99	39321	471859
100	39733	471691
101	40153	471607
102	40546	471210
103	41016	471688
104	41484	472137
105	41911	472095
106	42319	471840
107	42727	471588
108	43161	471607
109	43627	471972
110	44084	472219
111	44516	472191
112	44898	471630
113	45291	471193
114	45675	470660
115	46123	470778
116	46585	471034
117	47015	470946
118	47622	472619
119	48114	473128
120	48575	473311
121	48990	473039
122	49435	473049
123	49822	472514
124	50217	472044
125	50614	471599
126	51003	471078
127	51388	470523
128	51803	470247
129	52199	469791
130	52671	470024
131	53087	469739
132	53467	469144
133	53890	468924
134	54357	469086
135	54812	469133
136	55263	469133
137	55721	469188
138	56162	469100
139	56624	469177
140	57114	469471
141	57508	468974
142	57948	468858
143	58385	468709
144	58828	468602
145	59236	468208
146	59618	467616
147	60113	467912
148	60558	467800
149	60968	467425
150	61373	467005
151	61756	466420
152	62136	465820
153	62554	465503
154	63039	465680
155	63454	465332
156	63869	464984
157	64322	464914
158	64817	465140
159	65271	465060
160	65713	464889
161	66244	465344
162	66703	465287
163	67114	464890
164	67487	464231
165	67884	463744
166	68320	463517
167	68739	463175
168	69127	462620
169	69545	462271
170	69912	461583
171	70292	460986
172	70685	460477
173	71060	459853
174	71450	459323
175	71829	458728
176	72208	458136
177	72607	457672
178	72979	457038
179	73384	456613
180	73853	456588
181	74247	456089
182	74675	455805
183	75137	455725
184	75537	455266
185	75916	454680
186	76309	454184
187	76705	453706
188	77137	453437
189	77527	452926
190	77958	452650
191	78385	452351
192	78822	452104
193	79229	451689
194	79631	451246
195	80011	450679
196	80393	450124
197	80766	449520
198	81139	448918
199	81545	448501
200	81930	447967
201	82303	447372
202	82697	446895
203	83121	446575
204	83502	446027
205	83863	445370
206	84263	444927
207	84634	444332
208	85017	443798
209	85419	443367
210	85817	442913
211	86187	442320
212	86615	442021
213	86984	441425
214	87371	440921
215	87736	440307
216	88100	439689
217	88474	439127
218	88854	438594
219	89246	438120
220	89675	437826
221	90043	437236
222	90427	436729
223	90814	436236
224	91207	435767
225	91601	435308
226	91968	434724
227	92351	434212
228	92743	433745
229	93111	433168
230	93531	432835
231	93887	432208
232	94264	431672
233	94640	431140
234	95024	430642
235	95399	430107
236	95775	429577
237	96144	429013
238	96510	428443
239	96897	427965
240	97298	427548
241	97679	427044
242	98063	426556
243	98434	426011
244	98880	425790
245	99248	425236
246	99644	424801
247	100036	424348
248	100398	423772
249	100783	423290
250	101184	422877
251	101556	422345
252	101928	421813
253	102328	421400
254	102703	420884
255	103072	420342
256	103478	419953
257	103853	419437
258	104247	419000
259	104618	418473
260	105037	418139
261	105461	417822
262	105867	417432
263	106231	416879
264	106622	416430
265	106989	415891
266	107400	415524
267	107828	415218
268	108191	414666
